g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
100.0,m,3,none,none,50,3,-205.9990424440912,0.002883079701619803
100.0,dvr,3,none,none,10,3,-398.00185370389374,9.091472845316303e-5
100.0,dvr,3,none,none,20,3,-398.00185370389374,9.091472845316303e-5
100.0,dvr,3,none,none,50,3,-398.00185370389374,9.091472845316303e-5
0.01,m,4,none,none,10,3,-0.00012499877708371798,3.977392515381403e-5
0.01,m,4,none,none,20,3,-0.00012499877708371798,3.977392515320863e-5
0.01,m,4,none,none,50,3,-0.00012499877708371798,3.9773925153211005e-5
0.01,dvr,4,none,none,10,3,-0.0001250018683744969,8.838758166658917e-5
0.01,dvr,4,none,none,20,3,-0.0001250018683744969,8.838758166584427e-5
0.01,dvr,4,none,none,50,3,-0.00012500186837627325,8.838758166352455e-5
0.1,m,4,none,none,10,3,-0.012488587354553807,5.936039976767246e-10
0.1,m,4,none,none,20,3,-0.012488587354553812,1.6463612699567982e-10
0.1,m,4,none,none,50,3,-0.012488587354553814,4.0327450436746636e-10
0.1,dvr,4,none,none,10,3,-0.012523475689309976,1.1524528889697587e-9
0.1,dvr,4,none,none,20,3,-0.012523475689308228,6.790117626738588e-9
0.1,dvr,4,none,none,50,3,-0.012523475689309995,7.544575140820654e-10
1.0,m,4,none,none,10,3,-1.0927424888105313,3.9040106728496076e-5
1.0,m,4,none,none,20,3,-1.0927424906871779,2.1490760299348766e-7
1.0,m,4,none,none,50,3,-1.0927424906872343,1.4901161193847656e-8
1.0,dvr,4,none,none,10,3,-1.3497156978456946,0.0013013432125718771
1.0,dvr,4,none,none,20,3,-1.3497198778662176,0.00014283675156327022
1.0,dvr,4,none,none,50,3,-1.349719930707342,2.043144285798384e-7
5.0,m,4,none,none,10,3,-10.773731539605564,0.005336950333367085
5.0,m,4,none,none,20,3,-10.773863697305714,0.00385339413856437
5.0,m,4,none,none,50,3,-10.773990786324786,0.0014898440303346128
5.0,dvr,4,none,none,10,3,-15.987978987275998,0.00016136614348655963
5.0,dvr,4,none,none,20,3,-15.987979050800543,0.00015438500492415415
5.0,dvr,4,none,none,50,3,-15.987979240587437,0.00015424613384979884
20.0,m,4,none,none,10,3,-50.348793184602144,0.001983136447195763
20.0,m,4,none,none,20,3,-50.34879972120146,0.0019388565917511274
20.0,m,4,none,none,50,3,-50.348817812576534,0.0018012768379583757
20.0,dvr,4,none,none,10,3,-75.63002639108666,0.0001126466603106186
20.0,dvr,4,none,none,20,3,-75.63002640071988,0.00011190139880273918
20.0,dvr,4,none,none,50,3,-75.63002642954345,0.00011130241386802469
100.0,m,4,none,none,10,3,-263.40441284308423,0.0005726748759127676
100.0,m,4,none,none,20,3,-263.40441297616024,0.0005707404159396739
100.0,m,4,none,none,50,3,-263.40441337723547,0.0005725096842881655
100.0,dvr,4,none,none,10,3,-395.52645074233703,0.0037593449629739492
100.0,dvr,4,none,none,20,3,-395.52645074234,0.0037593217377147785
100.0,dvr,4,none,none,50,3,-395.5264507423491,0.0037593333503622996
0.01,m,9,none,none,10,3,-0.00010302269752073136,0.00850270051148237
0.01,m,9,none,none,20,3,-0.00012500005673210524,5.65953163390587e-5
0.01,m,9,none,none,50,3,-0.00012500005673210524,5.6595316330683926e-5
0.01,dvr,9,none,none,10,3,-0.00012057785153708591,0.0032821578027559225
0.01,dvr,9,none,none,20,3,-0.0001250000567338816,5.659531630498887e-5
0.01,dvr,9,none,none,50,3,-0.00012500005673565795,5.659531640261788e-5
0.1,m,9,none,none,10,3,-0.012464940543936506,0.011095503920910264
0.1,m,9,none,none,20,3,-0.012502347534194769,5.301858436535608e-5
0.1,m,9,none,none,50,3,-0.012502347534201874,5.301847935694652e-5
0.1,dvr,9,none,none,10,3,-0.012496764335990968,0.0033767987401789206
0.1,dvr,9,none,none,20,3,-0.012502347534205427,5.301851229573645e-5
0.1,dvr,9,none,none,50,3,-0.012502347534205427,5.301848114653464e-5
1.0,m,9,none,none,10,3,-1.1702378232711181,0.05342484613693083
1.0,m,9,none,none,20,3,-1.171212546479354,0.0034647497301547713
1.0,m,9,none,none,50,3,-1.1712373926512392,0.002268614837784109
1.0,dvr,9,none,none,10,3,-1.1644117955570115,0.06313906658642089
1.0,dvr,9,none,none,20,3,-1.1703674744353612,0.02272306765056784
1.0,dvr,9,none,none,50,3,-1.1712376880254602,0.002291967708660779
5.0,m,9,none,none,10,3,-12.916706065676488,0.000987639848728051
5.0,m,9,none,none,20,3,-12.916708430328498,0.0009668481904057015
5.0,m,9,none,none,50,3,-12.916715517992344,0.0009533359851317628
5.0,dvr,9,none,none,10,3,-12.91461004869052,0.02240302979338602
5.0,dvr,9,none,none,20,3,-12.91569008448245,0.023933749255229855
5.0,dvr,9,none,none,50,3,-12.919978741056603,0.028258665717682617
20.0,m,9,none,none,10,3,-64.92204592116396,1.689915194193778e-5
20.0,m,9,none,none,20,3,-64.92204592117598,2.3360154559928683e-6
20.0,m,9,none,none,50,3,-64.92204592117629,9.5367431640625e-7
20.0,dvr,9,none,none,10,3,-66.71777081038731,0.020922165053697876
20.0,dvr,9,none,none,20,3,-66.71783538718046,0.001785098223690693
20.0,dvr,9,none,none,50,3,-66.71783541119312,8.272815500687348e-5
100.0,m,9,none,none,10,3,-353.9767455378933,0.001717067234756322
100.0,m,9,none,none,20,3,-353.9767455737972,6.540843276780032e-5
100.0,m,9,none,none,50,3,-353.976745576727,6.4849853515625e-5
100.0,dvr,9,none,none,10,3,-381.6887027384758,0.027501058226240934
100.0,dvr,9,none,none,20,3,-381.68871310533797,0.002079153493427079
100.0,dvr,9,none,none,50,3,-381.6887131053382,0.0020792794709173293
0.01,m,10,none,none,10,3,0.626440270502695,0.9409411526043068
0.01,m,10,none,none,20,3,0.0001833707050772651,0.03214561337665156
0.01,m,10,none,none,50,3,-0.0001250000567374343,5.6595298891403506e-5
0.01,dvr,10,none,none,10,3,0.0003848404206852048,0.04405612870545693
0.01,dvr,10,none,none,20,3,-0.00012500005666638003,5.659585777293342e-5
0.01,dvr,10,none,none,50,3,-0.00012500005674453973,5.659529890900071e-5
0.1,m,10,none,none,10,3,0.5389605750572014,0.9353062708118324
0.1,m,10,none,none,20,3,-0.012137531822201527,0.03372179734395824
0.1,m,10,none,none,50,3,-0.012502347534201874,5.301942493995282e-5
0.1,dvr,10,none,none,10,3,-0.011785212120989734,0.05017772251266839
0.1,dvr,10,none,none,20,3,-0.012502347507730605,5.337929141790042e-5
0.1,dvr,10,none,none,50,3,-0.012502347534201874,5.301942731384347e-5
1.0,m,10,none,none,10,3,-1.1591590050302403,0.08510161484490415
1.0,m,10,none,none,20,3,-1.1681251966145854,0.04256294808276878
1.0,m,10,none,none,50,3,-1.1712362635322187,0.002384131736440628
1.0,dvr,10,none,none,10,3,-1.1227768470418102,0.1511998276027699
1.0,dvr,10,none,none,20,3,-1.1555585941128648,0.09677932764085372
1.0,dvr,10,none,none,50,3,-1.1709581490045136,0.013367265005697137
5.0,m,10,none,none,10,3,-12.919313312546585,0.0026303099226351297
5.0,m,10,none,none,20,3,-12.919314739116167,0.002615310491040411
5.0,m,10,none,none,50,3,-12.919318960803245,0.0026682623242348627
5.0,dvr,10,none,none,10,3,-12.924543521807378,0.0007642220727675946
5.0,dvr,10,none,none,20,3,-12.924544508418892,0.0007492748902029773
5.0,dvr,10,none,none,50,3,-12.924547485540822,0.0007494118322074189
20.0,m,10,none,none,10,3,-65.14554017945815,0.00020456258511412204
20.0,m,10,none,none,20,3,-65.1455401814236,2.3360154559928683e-6
20.0,m,10,none,none,50,3,-65.14554018142377,2.5231850729604633e-6
20.0,dvr,10,none,none,10,3,-65.95886788637759,0.00014874873816181366
20.0,dvr,10,none,none,20,3,-65.95886788646875,0.00023078721416042094
20.0,dvr,10,none,none,50,3,-65.95886788647569,0.00023109045935304433
100.0,m,10,none,none,10,3,-358.07796502731566,0.008575820405311105
100.0,m,10,none,none,20,3,-358.07796604849307,2.5872535641194413e-5
100.0,m,10,none,none,50,3,-358.07796604889745,2.4722063821441118e-5
100.0,dvr,10,none,none,10,3,-377.9147300941073,0.006210477110155796
100.0,dvr,10,none,none,20,3,-377.9147300942967,0.006202019704847094
100.0,dvr,10,none,none,50,3,-377.91473009427284,0.006200208082169424
100.0,dvr,4,even,even,10,3,-395.5264472645317,0.0037263168827821997
100.0,dvr,4,even,even,20,3,-395.5264472645317,0.0037263090724263246
100.0,dvr,4,even,even,50,3,-395.5264472645317,0.0037263090724263246
0.01,m,9,even,even,10,3,1.4512227866487764,2.3809943978964827
0.01,m,9,even,even,20,3,-0.0001250000567338816,5.659531639359718e-5
0.01,m,9,even,even,50,3,-0.00012500005673565795,5.659531633149492e-5
0.1,m,9,even,even,10,3,-0.012191616147690328,0.04370666845961372
0.1,m,9,even,even,20,3,-0.012502347534201874,5.301847941088211e-5
0.1,m,9,even,even,50,3,-0.012502347534205427,5.3018478519283266e-5
1.0,m,9,even,even,10,3,-1.171237406663927,0.0022838151468645195
1.0,m,9,even,even,20,3,-1.1712374466453532,0.0022661551150304575
1.0,m,9,even,even,50,3,-1.1712374466456872,0.0022661530566033235
5.0,m,9,even,even,10,3,-12.91729396701767,1.6858739404357614e-7
5.0,m,9,even,even,20,3,-12.917293967017656,6.07850493620966e-7
5.0,m,9,even,even,50,3,-12.917293967017656,5.057621821307283e-7
20.0,m,9,even,even,10,3,-64.92204615034647,1.3486991523486091e-6
20.0,m,9,even,even,20,3,-64.92204615034647,1.9073486328125e-6
20.0,m,9,even,even,50,3,-64.9220461503465,1.9073486328125e-6
100.0,m,9,even,even,10,3,-353.97679651929013,5.3947966093944364e-6
100.0,m,9,even,even,20,3,-353.9767965192899,1.206313194339134e-5
100.0,m,9,even,even,50,3,-353.9767965192901,6.607249479556569e-6
0.01,dvr,10,even,even,10,3,-0.0001250000567374343,5.6595351690584406e-5
0.01,dvr,10,even,even,20,3,-0.0001250000567374343,5.659534722845959e-5
0.01,dvr,10,even,even,50,3,-0.0001250000567374343,5.6595347226818745e-5
0.1,dvr,10,even,even,10,3,-0.012502347534177005,5.301967025480129e-5
0.1,dvr,10,even,even,20,3,-0.012502347534212532,5.30184806043669e-5
0.1,dvr,10,even,even,50,3,-0.012502347534212532,5.301848070661447e-5
1.0,dvr,10,even,even,10,3,-1.1712378491320692,0.0022844071848708222
1.0,dvr,10,even,even,20,3,-1.1712378524416884,0.0022826142128416905
1.0,dvr,10,even,even,50,3,-1.1712378524417169,0.00228261340189643
5.0,dvr,10,even,even,10,3,-12.925331588862825,3.769728732309794e-7
5.0,dvr,10,even,even,20,3,-12.925331588862818,4.460403188197543e-7
5.0,dvr,10,even,even,50,3,-12.925331588862818,5.057621821307283e-7
20.0,dvr,10,even,even,10,3,-65.95886799000287,2.6973983046972182e-6
20.0,dvr,10,even,even,20,3,-65.95886799000294,2.3360154559928683e-6
20.0,dvr,10,even,even,50,3,-65.95886799000291,9.5367431640625e-7
100.0,dvr,10,even,even,10,3,-377.91473057983853,0.006206511278861603
100.0,dvr,10,even,even,20,3,-377.91473057984325,0.006206614441317938
100.0,dvr,10,even,even,50,3,-377.91473057984325,0.006206623819638033
