g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
0.5,m,10,none,none,50,3,-0.3112149957465782,0.00016489756894311382
0.5,dvr,10,none,none,50,3,-0.31121499626810945,0.0001651437404703765
0.2,m,10,none,none,10,10,-0.2263201041060709,0.03348439946908288
0.2,dvr,10,none,none,10,10,-0.21776421926647307,0.1706634977757347
0.2,m,10,none,none,20,10,-0.2270053765758533,0.0015221399680668852
0.2,dvr,10,none,none,20,10,-0.22700537593004455,0.0015290527892667318
0.2,m,10,none,none,50,10,-0.22700537630480966,0.0015250553931374464
0.2,dvr,10,none,none,50,10,-0.22700537628439577,0.001525295904090103
0.2,m,10,none,none,10,5,-0.10057872278507192,0.0109444673231446
0.2,dvr,10,none,none,10,5,-0.1003271752521897,0.03805520434235038
0.2,m,10,none,none,20,5,-0.10058964493006783,0.0008503903750060111
0.2,dvr,10,none,none,20,5,-0.10058964492988309,0.0008504039165173072
0.2,m,10,none,none,50,5,-0.1005896449300181,0.0008503949887828945
0.2,dvr,10,none,none,50,5,-0.10058964493020994,0.0008504025484868135
0.2,m,10,none,none,10,3,0.06569410049945333,0.5614775287309216
0.2,dvr,10,none,none,10,3,-0.048747967108362524,0.06306342255358047
0.2,m,10,none,none,20,3,-0.049903355451913045,0.017554895448774723
0.2,dvr,10,none,none,20,3,-0.05002712597841352,0.000432949738890995
0.2,m,10,none,none,50,3,-0.05002712923626618,0.0004291518109998647
0.2,dvr,10,none,none,50,3,-0.05002712923633723,0.00042915200627311725
2.0,m,9,none,none,10,10,-18.82193878266231,0.0037242373160879427
2.0,dvr,9,none,none,10,10,-18.820243948037785,0.00324318212303847
2.0,m,9,none,none,20,10,-18.821938782669665,0.0037242227169010235
2.0,dvr,9,none,none,20,10,-18.8202439480658,0.0032430920152168963
2.0,m,9,none,none,50,10,-18.821938782669644,0.0037242228161115825
2.0,dvr,9,none,none,50,10,-18.8202439480663,0.0032430825766238945
2.0,m,9,none,none,10,5,-8.001773217958842,0.0023677128250466175
2.0,dvr,9,none,none,10,5,-8.00259476587912,0.002991948771429597
2.0,m,9,none,none,20,5,-8.001775463105632,0.002381021503859597
2.0,dvr,9,none,none,20,5,-8.002595806998226,0.003023585748808702
2.0,m,9,none,none,50,5,-8.001781797408144,0.0024209993381983643
2.0,dvr,9,none,none,50,5,-8.002598759810368,0.003114978004522653
2.0,m,9,none,none,10,3,-3.6779156673854345,0.030447271380072135
2.0,dvr,9,none,none,10,3,-3.6862554718368834,0.02566216209253586
2.0,m,9,none,none,20,3,-3.6808314468447616,0.029339318216442645
2.0,dvr,9,none,none,20,3,-3.68806548992147,0.022780231052829808
2.0,m,9,none,none,50,3,-3.6878629444518154,0.022686643396732934
2.0,dvr,9,none,none,50,3,-3.691409422731508,0.014856459645713098
1.7,m,9,none,none,10,10,-14.8756114774123,0.004104718145704104
1.7,dvr,9,none,none,10,10,-14.87488093475785,0.0036954672912818615
1.7,m,9,none,none,20,10,-14.875611477047705,0.004106813587537034
1.7,dvr,9,none,none,20,10,-14.874880934789392,0.003695459892566168
1.7,m,9,none,none,50,10,-14.875611477047684,0.004106813656743265
1.7,dvr,9,none,none,50,10,-14.874880934789427,0.003695459907948129
1.7,m,9,none,none,10,5,-6.28386204537386,0.0025885932170661916
1.7,dvr,9,none,none,10,5,-6.283700320059656,0.0033039469081364396
1.7,m,9,none,none,20,5,-6.283875895062071,0.0025507356594505043
1.7,dvr,9,none,none,20,5,-6.2837199323155595,0.0032889026291749897
1.7,m,9,none,none,50,5,-6.283913749155764,0.002524818665521555
1.7,dvr,9,none,none,50,5,-6.283772559151981,0.003467411382637409
1.7,m,9,none,none,10,3,-2.851976779059116,0.04848845007561579
1.7,dvr,9,none,none,10,3,-2.866124959186108,0.03733307927113356
1.7,m,9,none,none,20,3,-2.8591391358775806,0.04475132011827514
1.7,dvr,9,none,none,20,3,-2.869761727398341,0.03006724920539355
1.7,m,9,none,none,50,3,-2.871767345686226,0.02442848297209088
1.7,dvr,9,none,none,50,3,-2.8743080344563046,0.013682746097086838
1.3,m,9,none,none,10,10,-9.839150806384957,0.002571246107586448
1.3,dvr,9,none,none,10,10,-9.838989081129743,0.0027640372841697875
1.3,m,9,none,none,20,10,-9.839150893385,0.0022324496989805315
1.3,dvr,9,none,none,20,10,-9.838989095334796,0.0027338984358417436
1.3,m,9,none,none,50,10,-9.839150893385,0.0022324497308084707
1.3,dvr,9,none,none,50,10,-9.838989130029077,0.0026549523760094704
1.3,m,9,none,none,10,5,-4.1027195723525915,0.005684942337576791
1.3,dvr,9,none,none,10,5,-4.099821243276674,0.01694685565343176
1.3,m,9,none,none,20,5,-4.102965241628519,0.005614485397445754
1.3,dvr,9,none,none,20,5,-4.100595992641572,0.007987689993619885
1.3,m,9,none,none,50,5,-4.103349771778979,0.005966822890380524
1.3,dvr,9,none,none,50,5,-4.1022261050862685,0.005888423368633566
1.3,m,9,none,none,10,3,-1.7981588599743608,0.09488389955993344
1.3,dvr,9,none,none,10,3,-1.8450002223872901,0.05675708681247747
1.3,m,9,none,none,20,3,-1.826145720754054,0.08617176676177656
1.3,dvr,9,none,none,20,3,-1.8517517175063105,0.033535109338702775
1.3,m,9,none,none,50,3,-1.854014415863357,0.01937712040611815
1.3,dvr,9,none,none,50,3,-1.8549821758778091,0.0058502632764310175
0.8,m,9,none,none,10,10,-4.143159193038869,0.007555070561227766
0.8,dvr,9,none,none,10,10,-4.141321836855291,0.01770780124589258
0.8,m,9,none,none,20,10,-4.1434886709576535,0.008399778421155095
0.8,dvr,9,none,none,20,10,-4.141471410677296,0.0034853744766689277
0.8,m,9,none,none,50,10,-4.144143721080777,0.0066535815843452965
0.8,dvr,9,none,none,50,10,-4.1416535344503265,0.004613003536661135
0.8,m,9,none,none,10,5,-1.6946215800611948,0.03683012300440553
0.8,dvr,9,none,none,10,5,-1.6548686483764476,0.09515012701306223
0.8,m,9,none,none,20,5,-1.6969000353914716,0.007517497952534896
0.8,dvr,9,none,none,20,5,-1.6799616815840135,0.09698509808363204
0.8,m,9,none,none,50,5,-1.6970120163181335,0.002665414533640201
0.8,dvr,9,none,none,50,5,-1.6970059606303767,0.0028260999392964677
0.8,m,9,none,none,10,3,-0.7724953210207366,0.05551648732506285
0.8,dvr,9,none,none,10,3,-0.7715360693481492,0.054744664558856945
0.8,m,9,none,none,20,3,-0.7748850349874628,0.008985030792220237
0.8,dvr,9,none,none,20,3,-0.7748245087365622,0.011527582472866478
0.8,m,9,none,none,50,3,-0.7749783114952216,0.0010396227103966129
0.8,dvr,9,none,none,50,3,-0.774978377679787,0.0010453399526752112
0.5,m,9,none,none,10,10,-1.5031814743336687,0.15198853794046932
