g,basis,Nspec,parity,inversion,Nsweep,Nsites,energy,energy uncertainty
2.0,m,11,none,none,50,10,-18.822372272332206,0.004115077780594798
2.0,dvr,11,none,none,50,10,-18.82235142883762,0.0048559908180920265
2.0,m,11,none,none,50,5,-8.00152707805727,0.0020971032719278096
2.0,dvr,11,none,none,50,5,-8.002041511225379,0.002263661134395679
2.0,m,11,none,none,50,3,-3.6928634652254644,0.006306365478072523
2.0,dvr,11,none,none,50,3,-3.685153274120578,0.026846505178547416
1.7,m,11,none,none,50,10,-14.875774179943242,0.002920878039540717
1.7,dvr,11,none,none,50,10,-14.87576732781347,0.0038702980480280675
1.7,m,11,none,none,50,5,-6.282845393012524,0.0028001243172157764
1.7,dvr,11,none,none,50,5,-6.284161099949647,0.00233924785884961
1.7,m,11,none,none,50,3,-2.873164411475486,0.01934962056595903
1.7,dvr,11,none,none,50,3,-2.867871184978016,0.034260282261436695
1.3,m,11,none,none,50,10,-9.839179515930496,0.0022419519848975115
1.3,dvr,11,none,none,50,10,-9.839177564078256,0.0031683601848451625
1.3,m,11,none,none,50,5,-4.099807231107334,0.010114163974855015
1.3,dvr,11,none,none,50,5,-4.103408895068536,0.004469075473524853
1.3,m,11,none,none,50,3,-1.8533357551242922,0.024812673962166125
1.3,dvr,11,none,none,50,3,-1.8520890611130123,0.032062503955143394
0.8,m,11,none,none,50,10,-4.1440678615596145,0.005042632448060647
0.8,dvr,11,none,none,50,10,-4.144043464036157,0.007403371443641247
0.8,m,11,none,none,50,5,-1.6970030922733257,0.0031147993252938428
0.8,dvr,11,none,none,50,5,-1.697011617605689,0.0027058765271287463
0.8,m,11,none,none,50,3,-0.7749778295154698,0.001197660770904566
0.8,dvr,11,none,none,50,3,-0.7749778576708389,0.001174412454080097
0.5,m,11,none,none,50,10,-1.5120063331832156,0.002208122830606384
0.5,dvr,11,none,none,50,10,-1.5120063331431588,0.0022086658092863505
0.5,m,11,none,none,50,5,-0.6490638985217352,0.0018997974179329172
0.5,dvr,11,none,none,50,5,-0.6490638985710966,0.001899375912791697
0.5,m,11,none,none,50,3,-0.3112149960524775,0.0001651274087992657
0.5,dvr,11,none,none,50,3,-0.31121499604650893,0.0001651379500489359
0.2,m,11,none,none,50,10,-0.22700537631274642,0.0015249889023661199
0.2,dvr,11,none,none,50,10,-0.22700537633121698,0.0015248135969636607
0.2,m,11,none,none,50,5,-0.10058964493012823,0.0008504036046448205
0.2,dvr,11,none,none,50,5,-0.10058964493046219,0.0008503992134752063
0.2,m,11,none,none,50,3,-0.05002712923630526,0.0004291519076451493
0.2,dvr,11,none,none,50,3,-0.05002712923630881,0.00042915208881306137
2.0,m,10,none,none,50,10,-18.822155160989826,0.005064714332579623
2.0,dvr,10,none,none,50,10,-18.82262963832986,0.004285635543189761
2.0,m,10,none,none,50,5,-8.001316664409856,0.0019881877092044436
2.0,dvr,10,none,none,50,5,-8.002014180986492,0.0025590596492389276
2.0,m,10,none,none,50,3,-3.692347469072381,0.010838653006867602
2.0,dvr,10,none,none,50,3,-3.6744936838722837,0.03036602360822502
1.7,m,10,none,none,50,10,-14.875692249491085,0.00406333345443869
1.7,dvr,10,none,none,50,10,-14.875865555779484,0.00410585000955429
1.7,m,10,none,none,50,5,-6.282366130601019,0.0024103988378034774
1.7,dvr,10,none,none,50,5,-6.2837673753681225,0.002553726682939816
1.7,m,10,none,none,50,3,-2.8745108698639217,0.012104546390488904
1.7,dvr,10,none,none,50,3,-2.8574624948769176,0.04744699205220403
1.3,m,10,none,none,50,10,-9.83915834745218,0.0035173113394992746
1.3,dvr,10,none,none,50,10,-9.839194243657182,0.002347095278768156
1.3,m,10,none,none,50,5,-4.101952690746042,0.007341437287166777
1.3,dvr,10,none,none,50,5,-4.102098740540837,0.0064590723687753164
1.3,m,10,none,none,50,3,-1.8548399046424038,0.005514419015710468
1.3,dvr,10,none,none,50,3,-1.8505100228646303,0.040838025468927903
0.8,m,10,none,none,50,10,-4.144576700752569,0.0035716259283746885
0.8,dvr,10,none,none,50,10,-4.14131851901573,0.0029780236148593147
0.8,m,10,none,none,50,5,-1.6970121351203318,0.002675038311774797
0.8,dvr,10,none,none,50,5,-1.6969815565165618,0.009378187549636851
0.8,m,10,none,none,50,3,-0.7749782932079086,0.0010494880453352509
0.8,dvr,10,none,none,50,3,-0.7749782038534434,0.0010892728380279121
0.5,m,10,none,none,50,10,-1.512006328573868,0.0022061942080985972
0.5,dvr,10,none,none,50,10,-1.512006337220022,0.002206452791146495
0.5,m,10,none,none,50,5,-0.6490638972125957,0.001899314303833106
0.5,dvr,10,none,none,50,5,-0.6490638995304678,0.001899940384014543
0.5,m,10,none,none,50,3,-0.3112149957465782,0.00016489756894311382
0.5,dvr,10,none,none,50,3,-0.31121499626810945,0.0001651437404703765
0.2,m,10,none,none,50,10,-0.22700537630480966,0.0015250553931374464
0.2,dvr,10,none,none,50,10,-0.22700537628439577,0.001525295904090103
0.2,m,10,none,none,50,5,-0.1005896449300181,0.0008503949887828945
0.2,dvr,10,none,none,50,5,-0.10058964493020994,0.0008504025484868135
0.2,m,10,none,none,50,3,-0.05002712923626618,0.0004291518109998647
0.2,dvr,10,none,none,50,3,-0.05002712923633723,0.00042915200627311725
2.0,m,9,none,none,50,10,-18.821938782669644,0.0037242228161115825
2.0,dvr,9,none,none,50,10,-18.8202439480663,0.0032430825766238945
2.0,m,9,none,none,50,5,-8.001781797408144,0.0024209993381983643
2.0,dvr,9,none,none,50,5,-8.002598759810368,0.003114978004522653
2.0,m,9,none,none,50,3,-3.6878629444518154,0.022686643396732934
2.0,dvr,9,none,none,50,3,-3.691409422731508,0.014856459645713098
1.7,m,9,none,none,50,10,-14.875611477047684,0.004106813656743265
1.7,dvr,9,none,none,50,10,-14.874880934789427,0.003695459907948129
1.7,m,9,none,none,50,5,-6.283913749155764,0.002524818665521555
1.7,dvr,9,none,none,50,5,-6.283772559151981,0.003467411382637409
1.7,m,9,none,none,50,3,-2.871767345686226,0.02442848297209088
1.7,dvr,9,none,none,50,3,-2.8743080344563046,0.013682746097086838
1.3,m,9,none,none,50,10,-9.839150893385,0.0022324497308084707
1.3,dvr,9,none,none,50,10,-9.838989130029077,0.0026549523760094704
1.3,m,9,none,none,50,5,-4.103349771778979,0.005966822890380524
1.3,dvr,9,none,none,50,5,-4.1022261050862685,0.005888423368633566
1.3,m,9,none,none,50,3,-1.854014415863357,0.01937712040611815
1.3,dvr,9,none,none,50,3,-1.8549821758778091,0.0058502632764310175
