,dmrg_duration,bondsize,memory,mmax,Nsites,interaction,basis,E_angle,E_strength,g,istate,energy,SvN,renyi,mux,muy,xcorr,ycorr,corr
0,0.063135495,4,5260976,1,4,nearest,all,1.5707963267948966,0.0,0.1,1,-0.0187195648843672,0.0228020233161349,0.0031445454021209,-3.6119141945513425e-17,-8.159254090228279e-33,0.1498115335155973,-0.0741601119855727,0.0252171405100082
1,16.116632744,6,607656030,1,4,nearest,all,1.5707963267948966,0.0,0.1,2,0.8261749987827316,0.6958246189262044,0.3468441771220945,2.966374984586559e-18,1.5609419785430846e-19,0.9116535856444226,-0.0306860376057819,0.2936558493462135
2,0.166166178,7,8102504,1,4,nearest,all,1.5707963267948966,0.0,0.2,1,-0.0745139408665127,0.0744390022557035,0.0127931059317258,-1.2600064790525642e-17,-3.6264312087199895e-33,0.2984531888714046,-0.1433775063774666,0.0516918941646459
3,11.186565447,6,477517328,1,4,nearest,all,1.5707963267948966,0.0,0.2,2,0.6301585759582212,0.7003604698415113,0.3474001734633979,3.690729890641166e-17,-1.7850363939080001e-19,1.0016114293974434,-0.0580961314711817,0.3145050993087538
4,0.21951976,8,8324808,1,4,nearest,all,1.5707963267948966,0.0,0.3,1,-0.1662870710709354,0.1454468772340024,0.0294237616096449,2.8542135580468483e-16,9.851701300652108e-33,0.4444271110497513,-0.2032244235151618,0.0804008958448631
5,11.466091175,6,469078208,1,4,nearest,all,1.5707963267948966,0.0,0.3,2,0.4149327824871496,0.7049624329727094,0.3480358010600772,-1.8080742610321368e-15,1.871092353848913e-17,1.0782895324038684,-0.0815119176259491,0.3322592049259731
6,0.317026559,8,5663712,1,4,nearest,all,1.5707963267948966,0.0,0.4,1,-0.2921682049972736,0.2289130216232615,0.0532340160850105,-1.422173086566501e-16,1.1883039572501676e-32,0.5852834259360237,-0.2504310349370374,0.1116174636663287
7,9.341081464,6,446077744,1,4,nearest,all,1.5707963267948966,0.0,0.4,2,0.1835356681821773,0.7091649615435388,0.3486707715402858,-4.992105683369616e-16,1.0784733850687698e-18,1.1421167209547258,-0.1008416031982418,0.347091705918828
8,0.245258599,9,8467080,1,4,nearest,all,1.5707963267948966,0.0,0.5,1,-0.4494284096683274,0.3168335296151883,0.083373658599629,-8.87162376574636e-17,-3.189723031120427e-34,0.717305485379282,-0.2835961224158168,0.1445697876544883
9,9.454004004,6,453906432,1,4,nearest,all,1.5707963267948966,0.0,0.5,2,-0.0611828427506773,0.7128754847446018,0.3492724859576241,-9.067507420309605e-16,-2.913705127993779e-19,1.1943441169262825,-0.116423886644765,0.3593067434271724
10,0.182167997,9,5763360,1,4,nearest,all,1.5707963267948966,0.0,0.6,1,-0.6344962978842537,0.4008530697706255,0.1175714010375101,-1.1309637098511093e-15,4.813042208117581e-32,0.8363162902474071,-0.3035222225133498,0.177598022578019
11,10.337609088,6,457721840,1,4,nearest,all,1.5707963267948966,0.0,0.6,2,-0.3167183917864719,0.7161096459833817,0.3498265830806133,2.249743273268998e-16,-3.9966107629248636e-20,1.236648222764042,-0.1288062962743497,0.3692806421632308
12,0.200114191,9,5763360,1,4,nearest,all,1.5707963267948966,0.0,0.7000000000000001,1,-0.8432246434194521,0.4746196236989431,0.15267540500283,1.7403816373296737e-15,-2.1875963255910868e-32,0.9392443138867492,-0.3127468677880263,0.2088324820329076
13,9.556386877,6,466884048,1,4,nearest,all,1.5707963267948966,0.0,0.7000000000000001,2,-0.5809716350564682,0.7189128620243501,0.3503274768477818,1.0272535124042734e-16,6.354750550162248e-19,1.2707745309675698,-0.1385786753958566,0.3773986185239044
14,0.206155472,9,5763360,1,4,nearest,all,1.5707963267948966,0.0,0.8,1,-1.0713545083814626,0.5352206210982103,0.1857578993162298,3.191139411681804e-15,-1.5094993040639838e-32,1.0251490532427114,-0.3144769429172443,0.2368907034418224
15,10.771786268,6,481297776,1,4,nearest,all,1.5707963267948966,0.0,0.8,2,-0.8522367592918111,0.7213372905158562,0.350774800968786,-1.724357125280752e-15,6.924553358284567e-18,1.2983185204430598,-0.1462804972591538,0.3840126743946353
16,0.364437432,9,5763360,1,4,nearest,all,1.5707963267948966,0.0,0.9,1,-1.314959837268851,0.582776445918184,0.2149306806451265,1.315873336908767e-15,5.924723578464453e-32,1.095073163197867,-0.3116224235435744,0.2611502465514309
17,9.720510983,6,486025824,1,4,nearest,all,1.5707963267948966,0.0,0.9,2,-1.1291532773099455,0.7234342038985144,0.3511713333696806,-8.073482470217558e-16,-5.629558302346846e-19,1.3206331924650705,-0.1523646352375959,0.3894228524091581
18,0.185195475,9,5763360,1,4,nearest,all,1.5707963267948966,0.0,1.0,1,-1.5707080915435592,0.6190968343715474,0.2394741647546351,1.592277379439543e-15,3.381452752214756e-32,1.1512031907045064,-0.3063433770986467,0.2816199378686199
19,10.687908499,6,492798208,1,4,nearest,all,1.5707963267948966,0.0,1.0,2,-1.4106462956766146,0.7252508808775857,0.3515215062787672,-2.360999855284385e-15,1.0530741426591045e-18,1.3388164963718083,-0.1571934398306525,0.3938743521803853
20,0.188273336,9,5763360,1,4,nearest,all,1.5707963267948966,0.0,1.1,1,-1.8359242691939863,0.6464895906525219,0.2595105575691718,2.5841812624293227e-15,-1.012177085829672e-32,1.1960469929402613,-0.3000375871118432,0.298669801942806
21,10.31472526,6,502194352,1,4,nearest,all,1.5707963267948966,0.0,1.1,2,-1.69586912425513,0.7268292912928773,0.351830383096173,-3.718850179925769e-15,5.29458409355474e-18,1.3537373025289443,-0.1610492023683203,0.3975627000535414
